:ID,:LABEL,lemma,annotator,line_id,line_text
85,EPITHET,मानवेन्द्र,3,1,https://archive.org/details/dli.ernet.199817/
86,UNIT,१२ योजनानि,3,1,https://archive.org/details/dli.ernet.199817/
87,UNIT,३ योजन,3,1,https://archive.org/details/dli.ernet.199817/
88,‍‍QUALITY,सुविभक्तमहापथा,3,1,https://archive.org/details/dli.ernet.199817/
89,‍‍QUALITY,श्रीमती,3,1,https://archive.org/details/dli.ernet.199817/
90,ROAD,राजमार्ग,3,1,https://archive.org/details/dli.ernet.199817/
91,‍‍QUALITY,कवाटतोरणवती,3,1,https://archive.org/details/dli.ernet.199817/
92,‍‍QUALITY,सुविभक्तान्तरापणा,3,1,https://archive.org/details/dli.ernet.199817/
93,‍‍QUALITY,सर्वयन्त्रायुधवती,3,1,https://archive.org/details/dli.ernet.199817/
94,‍‍QUALITY,सुविभक्त,3,1,https://archive.org/details/dli.ernet.199817/
95,‍‍QUALITY,मुक्तपुष्पावकीर्ण,3,1,https://archive.org/details/dli.ernet.199817/
96,‍‍QUALITY,जलसिक्त,3,1,https://archive.org/details/dli.ernet.199817/
97,PROFESSIONAL,शिल्पी,3,1,https://archive.org/details/dli.ernet.199817/
98,PROFESSIONAL,सूत,3,1,https://archive.org/details/dli.ernet.199817/
99,PROFESSIONAL,मागध,3,1,https://archive.org/details/dli.ernet.199817/
100,WEAPON,शतघ्नी,3,1,https://archive.org/details/dli.ernet.199817/
102,UNIT,१०० शत,3,1,https://archive.org/details/dli.ernet.199817/
103,‍‍QUALITY,उच्चाट्टालध्वजवती,3,1,https://archive.org/details/dli.ernet.199817/
126,SHAPE,अष्टापद,3,1,https://archive.org/details/dli.ernet.199817/
127,RAKSHASA,यूपाक्ष,3,1,https://archive.org/details/dli.ernet.199817/
128,RAKSHASA,रावण,3,1,https://archive.org/details/dli.ernet.199817/
129,RAKSHASA,कुम्भकर्ण,3,1,https://archive.org/details/dli.ernet.199817/
130,RAKSHASA,कुम्भ,3,1,https://archive.org/details/dli.ernet.199817/
131,RAKSHASA,निकुम्भ,3,1,https://archive.org/details/dli.ernet.199817/
132,MONKEY,मैन्द,3,1,https://archive.org/details/dli.ernet.199817/
4,HUMAN,अंशुमान,4,1,https://archive.org/details/dli.ernet.199817/
201,KING,भरत,4,1,https://archive.org/details/dli.ernet.199817/
290,HILL,ऋषभ,4,1,https://archive.org/details/dli.ernet.199817/
107,GOD,अग्नि,4,1,https://archive.org/details/dli.ernet.199817/
149,RISHI,कश्यप,4,1,https://archive.org/details/dli.ernet.199817/
248,LINAGE,इक्ष्वाकु,4,1,https://archive.org/details/dli.ernet.199817/
180,KING,सगर,4,1,https://archive.org/details/dli.ernet.199817/
156,GOD,प्रजापति,4,1,https://archive.org/details/dli.ernet.199817/
501,MAHARSHI,च्यवन,4,1,https://archive.org/details/dli.ernet.199817/
105,RIVER,गङ्गा,4,1,https://archive.org/details/dli.ernet.199817/
106,RISHI,अगस्त्य,4,1,https://archive.org/details/dli.ernet.199817/
108,MONKEY,नील,4,1,https://archive.org/details/dli.ernet.199817/
109,RISHI,अगस्त्यभ्राता,4,1,https://archive.org/details/dli.ernet.199817/
110,RISHI,सुतीक्ष्ण,4,1,https://archive.org/details/dli.ernet.199817/
111,KINGDOM,अङ्ग,4,1,https://archive.org/details/dli.ernet.199817/
112,KING,रोमपाद,4,1,https://archive.org/details/dli.ernet.199817/
117,HUMAN,अङ्गद,4,1,https://archive.org/details/dli.ernet.199817/
116,MONKEY,अङ्गद,4,1,https://archive.org/details/dli.ernet.199817/
113,PRINCE,अङ्गद,4,1,https://archive.org/details/dli.ernet.199817/
114,MONKEY,वालिन्,4,1,https://archive.org/details/dli.ernet.199817/
115,MONKEY,तारा,4,1,https://archive.org/details/dli.ernet.199817/
118,CAPITAL,अङ्गदीया,4,1,https://archive.org/details/dli.ernet.199817/
119,KINGDOM,कारुपथ,4,1,https://archive.org/details/dli.ernet.199817/
120,CITY,अङ्गलेपा,4,1,https://archive.org/details/dli.ernet.199817/
121,RAKSHASHI,अङ्गारका,4,1,https://archive.org/details/dli.ernet.199817/
122,PRAJAPATI,अङ्गिरस,4,1,https://archive.org/details/dli.ernet.199817/
123,MONKEY,हनुमान्,4,1,https://archive.org/details/dli.ernet.199817/
124,HILL,अञ्जन,4,1,https://archive.org/details/dli.ernet.199817/
125,ELEPHANT,अञ्जन,4,1,https://archive.org/details/dli.ernet.199817/
133,FOREST,दण्डक,4,1,https://archive.org/details/dli.ernet.199817/
134,MONKEY,सुषेण,4,1,https://archive.org/details/dli.ernet.199817/
135,CITY,अग्निलेप,4,1,https://archive.org/details/dli.ernet.199817/
136,MONKEY,सुग्रीव,4,1,https://archive.org/details/dli.ernet.199817/
137,PART_OF_A_SEA,दक्षिणसमुद्र,4,1,https://archive.org/details/dli.ernet.199817/
140,APSARA,अञ्जना,4,1,https://archive.org/details/dli.ernet.199817/
139,MONKEY,केशरी,4,1,https://archive.org/details/dli.ernet.199817/
141,MONKEY,केसरी,4,1,https://archive.org/details/dli.ernet.199817/
142,RAKSHASA,अतिकाय,4,1,https://archive.org/details/dli.ernet.199817/
144,RISHI,अत्रि 1,4,1,https://archive.org/details/dli.ernet.199817/
145,HUMAN,अनसूया,4,1,https://archive.org/details/dli.ernet.199817/
146,RISHI,अत्रि 2,4,1,https://archive.org/details/dli.ernet.199817/
147,GODDESS,अदिति,4,1,https://archive.org/details/dli.ernet.199817/
148,GOD,इन्द्र,4,1,https://archive.org/details/dli.ernet.199817/
150,RAKSHASA,अनल,4,1,https://archive.org/details/dli.ernet.199817/
151,RAKSHASA,विभीषण,4,1,https://archive.org/details/dli.ernet.199817/
152,RAKSHASA,माली,4,1,https://archive.org/details/dli.ernet.199817/
153,RAKSHASHI,वसुदा,4,1,https://archive.org/details/dli.ernet.199817/
155,RISHI,दक्ष,4,1,https://archive.org/details/dli.ernet.199817/
154,PRAJAPATI,दक्ष,4,1,https://archive.org/details/dli.ernet.199817/
157,HUMAN,अनला 1,4,1,https://archive.org/details/dli.ernet.199817/
158,RAKSHASHI,अनला 2,4,1,https://archive.org/details/dli.ernet.199817/
159,RAKSHASA,माल्यवान्,4,1,https://archive.org/details/dli.ernet.199817/
160,MONKEY,अनङ्ग,4,1,https://archive.org/details/dli.ernet.199817/
161,RISHI,अनन्तदेव,4,1,https://archive.org/details/dli.ernet.199817/
162,HILL,जातरूपशिला,4,1,https://archive.org/details/dli.ernet.199817/
163,RAKSHASA,अनिल,4,1,https://archive.org/details/dli.ernet.199817/
165,DANAVA,अनुह्लाद,4,1,https://archive.org/details/dli.ernet.199817/
166,COUNTRY,अन्ध्र,4,1,https://archive.org/details/dli.ernet.199817/
167,DANAVA,अन्धक,4,1,https://archive.org/details/dli.ernet.199817/
168,DEVA,रुद्र,4,1,https://archive.org/details/dli.ernet.199817/
169,HILL,अपरपर्वत,4,1,https://archive.org/details/dli.ernet.199817/
170,VILLAGE,अभिकाल,4,1,https://archive.org/details/dli.ernet.199817/
171,MESSENGER,दूत,4,1,https://archive.org/details/dli.ernet.199817/
172,RISHI,वशिष्ठ,4,1,https://archive.org/details/dli.ernet.199817/
173,MAHARSHI,वशिष्ठ,4,1,https://archive.org/details/dli.ernet.199817/
174,TOWN,अमरावती,4,1,https://archive.org/details/dli.ernet.199817/
175,HILL,अयोमुख,4,1,https://archive.org/details/dli.ernet.199817/
176,RAKSHASHI,अयोमुखी,4,1,https://archive.org/details/dli.ernet.199817/
177,RISHI,उशना,4,1,https://archive.org/details/dli.ernet.199817/
178,HUMAN,अरजा,4,1,https://archive.org/details/dli.ernet.199817/
179,HILL,अरिष्ट,4,1,https://archive.org/details/dli.ernet.199817/
181,HUMAN,सुमति,4,1,https://archive.org/details/dli.ernet.199817/
182,PRAJAPATI,अरिष्टनेमि,4,1,https://archive.org/details/dli.ernet.199817/
187,DEVINE_BIRD,अरुण,4,1,https://archive.org/details/dli.ernet.199817/
188,DEVINE_BIRD,गरुड,4,1,https://archive.org/details/dli.ernet.199817/
189,HUMAN,विनता,4,1,https://archive.org/details/dli.ernet.199817/
190,DEVINE_BIRD,जटायु,4,1,https://archive.org/details/dli.ernet.199817/
191,DEVINE_BIRD,सम्पाति,4,1,https://archive.org/details/dli.ernet.199817/
192,HUMAN,अरुन्धती,4,1,https://archive.org/details/dli.ernet.199817/
193,MONKEY,अर्क,4,1,https://archive.org/details/dli.ernet.199817/
194,MONKEY,अर्चिष्मान्,4,1,https://archive.org/details/dli.ernet.199817/
195,DIRECTION,पश्चिमदिशा,4,1,https://archive.org/details/dli.ernet.199817/
196,MONKEY,अर्चिमाल्यस्,4,1,https://archive.org/details/dli.ernet.199817/
197,KING,अर्जुन,4,1,https://archive.org/details/dli.ernet.199817/
198,KING,कार्तवीर्य,4,1,https://archive.org/details/dli.ernet.199817/
199,RISHI,जमदग्नि,4,1,https://archive.org/details/dli.ernet.199817/
200,DEVA,विष्णु,4,1,https://archive.org/details/dli.ernet.199817/
202,HUMAN,अर्थसाधक,4,1,https://archive.org/details/dli.ernet.199817/
203,FOREST,अलक्षित,4,1,https://archive.org/details/dli.ernet.199817/
204,ADITYA,अर्यमा,4,1,https://archive.org/details/dli.ernet.199817/
205,HUMAN,कौशल्या,4,1,https://archive.org/details/dli.ernet.199817/
206,HUMAN,अलम्बुषा,4,1,https://archive.org/details/dli.ernet.199817/
207,HUMAN,विशाल,4,1,https://archive.org/details/dli.ernet.199817/
208,KING,अलर्क,4,1,https://archive.org/details/dli.ernet.199817/
209,HUMAN,कैकेयी,4,1,https://archive.org/details/dli.ernet.199817/
210,DIRECTION,दक्षिणदिशा,4,1,https://archive.org/details/dli.ernet.199817/
211,TOWN,अवन्ति,4,1,https://archive.org/details/dli.ernet.199817/
212,TOWN,अवन्ती,4,1,https://archive.org/details/dli.ernet.199817/
213,RAKSHASA,अविन्ध्य,4,1,https://archive.org/details/dli.ernet.199817/
214,RAKSHASA,अशनिप्रभ,4,1,https://archive.org/details/dli.ernet.199817/
215,MONKEY,द्विविद,4,1,https://archive.org/details/dli.ernet.199817/
216,HUMAN,अशोक,4,1,https://archive.org/details/dli.ernet.199817/
217,GARDEN,अशोकवाटिका,4,1,https://archive.org/details/dli.ernet.199817/
218,HUMAN,सीता,4,1,https://archive.org/details/dli.ernet.199817/
219,RISHI,अश्व,4,1,https://archive.org/details/dli.ernet.199817/
220,RESIDENTIAL_PLACE,आश्रम,4,1,https://archive.org/details/dli.ernet.199817/
