:ID,:LABEL,lemma,auto
3391,Dhaatu,सम्यक्-मारित-ताम्र,
3392,Karma,सारक,
3393,Karma,रोपण,
3394,Dhaatu,असम्यक्-मारित-ताम्र,
3395,Karma,विरेक,
3396,Dhaatu,रङ्ग,
3397,Dhaatu,त्रपु,
3398,Dhaatu,पिच्चट,
3399,Dhaatu,क्षुरक,
3400,Dhaatu,मिश्रक,
3401,Dhaatu,सम्यक्-मारित-रङ्ग,
4869,Text,सिंहो यथा हस्तिगणं निहन्ति तथैव वङ्गोऽखिलमेहवर्गम्,
3402,Qualifier,प्र,
3403,Karma,देहसौख्य,
3404,Dhaatu,यशद,
3405,Dhaatu,रङ्गसदृश,
3406,Dhaatu,रीतिहेतु,
3407,Substance,चक्षुष्य-द्रव्य,
4070,Dhaatu_kathaa,दृष्ट्वा भोगिसुतां रम्यां वासुकिस्तुमुमोच यत्,
4071,Dhaatu_kathaa,वीर्यं जातस्ततो नागः सर्वरोगापहा नृणाम्,
3408,Dhaatu,सीस,
3409,Dhaatu,ब्रध्न,
3410,Dhaatu,वप्र,
3411,Dhaatu,योगेष्ट,
4072,Manner_of_consumption,सन्तत-सेवन,
3413,Shaariira_kriyaabhaava_pob,कामबल,
4073,Dhaatu,सन्तत-सेवित-नाग,
3414,Dhaatu,हीन-वङ्ग,
3415,Dhaatu,हीन-नाग,
3416,Roga,अतिकष्ट,
3417,Nija_roga,अनिलसाद,
3418,Nija_roga,भगन्दर,
4074,Dhaatu_kathaa,पुरा लोमिनदैत्यानां निहतानां सुरैर्युधि,
4075,Dhaatu_kathaa,उत्पन्नानि शरीरेभ्यो लोहानि विविधानि च,
3421,Dhaatu,तीक्ष्ण,
3419,Dhaatu,लोह,
3420,Dhaatu,शस्त्रक,
3422,Dhaatu,पिण्ड,
3423,Dhaatu,कालायस,
3424,Dhaatu,आयसी,
4077,Naisargika_dhaatu_dosha,दृढता,
4076,Naisargika_dhaatu_dosha,गुरुता,
4078,Naisargika_dhaatu_dosha,उत्क्लेद,
4079,Naisargika_dhaatu_dosha,कश्मल,
4080,Naisargika_dhaatu_dosha,दाहकारिता,
4081,Naisargika_dhaatu_dosha,अश्मदोष,
