:ID,:LABEL,lemma
1,Town,अयोध्या
2,Kingdom,कोसल
3,River,शरयू
4,Human,अंशुमान
5,Human,राम
6,Human,दशरथ
7,Human,ऋष्यशृङ्ग
8,Human,जनक 1
9,Human,सुमन्त्र
10,Human,भरत
11,Human,ऋषभ
12,Village,अंशुधान
13,Rakshasa,अकम्पन
14,Human,अकोप
15,Rakshasa,अक्ष
16,Deva,अग्नि
17,Rishi,अगस्ति
18,Rakshasa,अग्निकेतु
19,Human,अग्निवर्ण
20,Human,मनु
21,Human,मरीचि
22,Human,कश्यप
24,Human,विवस्वान्
25,Human,इक्ष्वाकु
26,Human,कुक्षि
27,Human,विकुक्षि
28,Human,बाण
29,Human,अनरण्य
30,Human,पृथु
31,Human,त्रिशङ्क
32,Human,धुन्धुमार
33,Human,युवनाश्व
34,Human,मान्धाता
35,Human,सुसन्धि
36,Human,ध्रुवसन्धि
37,Human,प्रसेनजित्
38,Human,भरत-१
39,Human,असित
40,Kingdom,हैहय
41,Kingdom,तालजङ्घ
42,Kingdom,शशबिन्दु
43,Human,सगर
45,Human,दिलीप
46,Human,भगीरथ
47,Human,ककुत्स्थ
49,Human,प्रवृद्ध
50,Human,कल्माषपाद
51,Human,शङ्खण
52,Human,सुदर्शन
53,Human,शीघ्रग
54,Human,मरु
55,Human,प्रशुश्रुक
56,Human,अम्बरीष
57,Human,नहुष
58,Human,ययाति
59,Human,नाभाग
60,Human,अज
61,Human,नेमि
62,Human,लक्ष्मण
63,Human,शत्रुघ्न
64,Deva,ब्रह्मा
65,Human,त्रिशङ्कु
66,Human,वैवस्वत
67,Human,प्रजापति
68,Epithet,वैवस्वत
69,Epithet,प्रजापति
70,Epithet,दशरथ
71,Epithet,पृथिवीपति
72,Human,कालिन्दी
73,Human,च्यवन
74,Kula,भार्गव
76,Human,(असितभार्या२)
77,Mountain,हिमवत्
78,Human,असमञ्ज
79,Gana,देव
80,Gana,राक्षस
81,Epithet,कल्माषपाद
82,Human,रघु
83,‍‍quality,पुरुषादक
84,‍‍quality,प्रभूतधनधान्यवान्
85,Epithet,मानवेन्द्र
86,Unit,१२ योजनानि
87,Unit,३ योजन
88,‍‍quality,सुविभक्तमहापथा
89,‍‍quality,श्रीमती
90,Road,राजमार्ग
91,‍‍quality,कवाटतोरणवती
92,‍‍quality,सुविभक्तान्तरापणा
93,‍‍quality,सर्वयन्त्रायुधवती
94,‍‍quality,सुविभक्त
95,‍‍quality,मुक्तपुष्पावकीर्ण
96,‍‍quality,जलसिक्त
97,Professional,शिल्पी
98,Professional,सूत
99,Professional,मागध
100,Weapon,शतघ्नी
102,Unit,१०० शत
103,‍‍quality,उच्चाट्टालध्वजवती
104,Professional,अकोप
105,River,गङ्गा
106,Rishi,अगस्त्य
107,God,अग्नि
108,Monkey,नील
109,Rishi,अगस्त्यभ्राता
110,Rishi,सुतीक्ष्ण
111,Kingdom,अङ्ग
112,King,रोमपाद
113,Prince,अङ्गद
114,Monkey,वालिन्
115,Monkey,तारा
116,Monkey,अङ्गद
117,Human,अङ्गद
118,Capital,अङ्गदीया
119,Kingdom,कारुपथ
120,City,अङ्गलेपा
121,Rakshashi,अङ्गारका
122,Prajapati,अङ्गिरस
123,Monkey,हनुमान्
124,Hill,अञ्जन
125,Elephant,अञ्जन
126,Shape,अष्टापद
127,Rakshasa,यूपाक्ष
128,Rakshasa,रावण
129,Rakshasa,कुम्भकर्ण
130,Rakshasa,कुम्भ
131,Rakshasa,निकुम्भ
132,Monkey,मैन्द
133,Forest,दण्डक
134,Monkey,सुषेण
135,City,अग्निलेप
136,Monkey,सुग्रीव
137,Part_of_a_sea,दक्षिणसमुद्र
139,Monkey,केशरी
140,Apsara,अञ्जना
141,Monkey,केसरी
142,Rakshasa,अतिकाय
144,Rishi,अत्रि 1
145,Human,अनसूया
146,Rishi,अत्रि 2
147,Goddess,अदिति
148,God,इन्द्र
149,Rishi,कश्यप
150,Rakshasa,अनल
151,Rakshasa,विभीषण
152,Rakshasa,माली
153,Rakshashi,वसुदा
154,Prajapati,दक्ष
155,Rishi,दक्ष
156,God,प्रजापति
157,Human,अनला 1
158,Rakshashi,अनला 2
159,Rakshasa,माल्यवान्
160,Monkey,अनङ्ग
161,Rishi,अनन्तदेव
162,Hill,जातरूपशिला
163,Rakshasa,अनिल
165,Danava,अनुह्लाद
166,Country,अन्ध्र
167,Danava,अन्धक
168,Deva,रुद्र
169,Hill,अपरपर्वत
170,Village,अभिकाल
171,Messenger,दूत
172,Rishi,वसिष्ठ
173,Maharshi,वसिष्ठ
174,Town,अमरावती
175,Hill,अयोमुख
176,Rakshashi,अयोमुखी
177,Rishi,उशना
178,Human,अरजा
179,Hill,अरिष्ट
180,King,सगर
181,Human,सुमति
182,Prajapati,अरिष्टनेमि
183,Tree,अर्जुनक
184,Insect,इन्द्रगोप
185,Animal,ईहामृग
187,Devine_bird,अरुण
188,Devine_bird,गरुड
189,Human,विनता
190,Devine_bird,जटायु
191,Devine_bird,सम्पाति
192,Human,अरुन्धती
193,Monkey,अर्क
194,Monkey,अर्चिष्मान्
195,Direction,पश्चिमदिशा
196,Monkey,अर्चिमाल्यस्
197,King,अर्जुन
198,King,कार्तवीर्य
199,Rishi,जमदग्नि
200,Deva,विष्णु
201,King,भरत
202,Human,अर्थसाधक
203,Forest,अलक्षित
204,Aditya,अर्यमा
205,Human,कौशल्या
206,Human,अलम्बुषा
207,Human,विशाल
208,King,अलर्क
209,Human,कैकेयी
210,Direction,दक्षिणदिशा
211,Town,अवन्ति
