:ID,:LABEL,lemma,annotator,line_id,line_text
89,‍‍Quality/गुण,श्रीमती,3,1,https://archive.org/details/dli.ernet.199817/
90,Road,राजमार्ग,3,1,https://archive.org/details/dli.ernet.199817/
91,‍‍Quality/गुण,कवाटतोरणवती,3,1,https://archive.org/details/dli.ernet.199817/
92,‍‍Quality/गुण,सुविभक्तान्तरापणा,3,1,https://archive.org/details/dli.ernet.199817/
93,‍‍Quality/गुण,सर्वयन्त्रायुधवती,3,1,https://archive.org/details/dli.ernet.199817/
94,‍‍Quality/गुण,सुविभक्त,3,1,https://archive.org/details/dli.ernet.199817/
95,‍‍Quality/गुण,मुक्तपुष्पावकीर्ण,3,1,https://archive.org/details/dli.ernet.199817/
96,‍‍Quality/गुण,जलसिक्त,3,1,https://archive.org/details/dli.ernet.199817/
97,Professional,शिल्पी,3,1,https://archive.org/details/dli.ernet.199817/
98,Professional,सूत,3,1,https://archive.org/details/dli.ernet.199817/
99,Professional,मागध,3,1,https://archive.org/details/dli.ernet.199817/
100,Weapon,शतघ्नी,3,1,https://archive.org/details/dli.ernet.199817/
102,Unit/परिमाण,१०० शत,3,1,https://archive.org/details/dli.ernet.199817/
103,‍‍Quality/गुण,उच्चाट्टालध्वजवती,3,1,https://archive.org/details/dli.ernet.199817/
104,Professional,अकोप,3,1,https://archive.org/details/dli.ernet.199817/
105,River,गङ्गा,4,1,https://archive.org/details/dli.ernet.199817/
106,Rishi,अगस्त्य,4,1,https://archive.org/details/dli.ernet.199817/
107,God,अग्नि,4,1,https://archive.org/details/dli.ernet.199817/
108,Monkey/वानर,नील,4,1,https://archive.org/details/dli.ernet.199817/
109,Rishi,अगस्त्यभ्राता,4,1,https://archive.org/details/dli.ernet.199817/
110,Rishi,सुतीक्ष्ण,4,1,https://archive.org/details/dli.ernet.199817/
111,Kingdom,अङ्ग,4,1,https://archive.org/details/dli.ernet.199817/
112,King,रोमपाद,4,1,https://archive.org/details/dli.ernet.199817/
113,Prince,अङ्गद,4,1,https://archive.org/details/dli.ernet.199817/
114,Monkey/वानर,वालिन्,4,1,https://archive.org/details/dli.ernet.199817/
115,Monkey/वानर,तारा,4,1,https://archive.org/details/dli.ernet.199817/
116,Monkey/वानर,अङ्गद,4,1,https://archive.org/details/dli.ernet.199817/
117,Human,अङ्गद,4,1,https://archive.org/details/dli.ernet.199817/
118,Capital/ राजधानी,अङ्गदीया,4,1,https://archive.org/details/dli.ernet.199817/
119,Kingdom,कारुपथ,4,1,https://archive.org/details/dli.ernet.199817/
120,City,अङ्गलेपा,4,1,https://archive.org/details/dli.ernet.199817/
121,Rakshashi/राक्षसी,अङ्गारका,4,1,https://archive.org/details/dli.ernet.199817/
122,Prajapati,अङ्गिरस,4,1,https://archive.org/details/dli.ernet.199817/
123,Monkey/वानर,हनुमान्,4,1,https://archive.org/details/dli.ernet.199817/
124,Hill/पर्वतः,अञ्जन,4,1,https://archive.org/details/dli.ernet.199817/
125,Elephant/ गजः,अञ्जन,4,1,https://archive.org/details/dli.ernet.199817/
126,Shape,अष्टापद,3,1,https://archive.org/details/dli.ernet.199817/
127,Rakshasa,यूपाक्ष,3,1,https://archive.org/details/dli.ernet.199817/
128,Rakshasa,रावण,3,1,https://archive.org/details/dli.ernet.199817/
129,Rakshasa,कुम्भकर्ण,3,1,https://archive.org/details/dli.ernet.199817/
130,Rakshasa,कुम्भ,3,1,https://archive.org/details/dli.ernet.199817/
131,Rakshasa,निकुम्भ,3,1,https://archive.org/details/dli.ernet.199817/
132,Monkey/वानर,मैन्द,3,1,https://archive.org/details/dli.ernet.199817/
133,Forest/अरण्यम्,दण्डक,4,1,https://archive.org/details/dli.ernet.199817/
134,Monkey/वानर,सुषेण,4,1,https://archive.org/details/dli.ernet.199817/
135,City,अग्निलेप,4,1,https://archive.org/details/dli.ernet.199817/
136,Monkey/वानर,सुग्रीव,4,1,https://archive.org/details/dli.ernet.199817/
137,Part of a Sea,दक्षिणसमुद्र,4,1,https://archive.org/details/dli.ernet.199817/
139,Monkey/वानर,केशरी,4,1,https://archive.org/details/dli.ernet.199817/
140,Apsara,अञ्जना,4,1,https://archive.org/details/dli.ernet.199817/
141,Monkey/वानर,केसरी,4,1,https://archive.org/details/dli.ernet.199817/
142,Rakshasa,अतिकाय,4,1,https://archive.org/details/dli.ernet.199817/
144,Rishi,अत्रि 1,4,1,https://archive.org/details/dli.ernet.199817/
145,Human,अनसूया,4,1,https://archive.org/details/dli.ernet.199817/
146,Rishi,अत्रि 2,4,1,https://archive.org/details/dli.ernet.199817/
147,Goddess/देवी,अदिति,4,1,https://archive.org/details/dli.ernet.199817/
148,God,इन्द्र,4,1,https://archive.org/details/dli.ernet.199817/
149,Rishi,कश्यप,4,1,https://archive.org/details/dli.ernet.199817/
150,Rakshasa,अनल,4,1,https://archive.org/details/dli.ernet.199817/
151,Rakshasa,विभीषण,4,1,https://archive.org/details/dli.ernet.199817/
152,Rakshasa,माली,4,1,https://archive.org/details/dli.ernet.199817/
153,Rakshashi/राक्षसी,वसुदा,4,1,https://archive.org/details/dli.ernet.199817/
154,Prajapati,दक्ष,4,1,https://archive.org/details/dli.ernet.199817/
155,Rishi,दक्ष,4,1,https://archive.org/details/dli.ernet.199817/
156,God,प्रजापति,4,1,https://archive.org/details/dli.ernet.199817/
157,Human,अनला 1,4,1,https://archive.org/details/dli.ernet.199817/
158,Rakshashi/राक्षसी,अनला 2,4,1,https://archive.org/details/dli.ernet.199817/
159,Rakshasa,माल्यवान्,4,1,https://archive.org/details/dli.ernet.199817/
160,Monkey/वानर,अनङ्ग,4,1,https://archive.org/details/dli.ernet.199817/
161,Rishi,अनन्तदेव,4,1,https://archive.org/details/dli.ernet.199817/
162,Hill/पर्वतः,जातरूपशिला,4,1,https://archive.org/details/dli.ernet.199817/
163,Rakshasa,अनिल,4,1,https://archive.org/details/dli.ernet.199817/
165,Danava,अनुह्लाद,4,1,https://archive.org/details/dli.ernet.199817/
166,Country/जनपद,अन्ध्र,4,1,https://archive.org/details/dli.ernet.199817/
167,Danava,अन्धक,4,1,https://archive.org/details/dli.ernet.199817/
168,Deva,रुद्र,4,1,https://archive.org/details/dli.ernet.199817/
169,Hill/पर्वतः,अपरपर्वत,4,1,https://archive.org/details/dli.ernet.199817/
170,Village,अभिकाल,4,1,https://archive.org/details/dli.ernet.199817/
171,Messenger,दूत,4,1,https://archive.org/details/dli.ernet.199817/
172,Rishi,वसिष्ठ,4,1,https://archive.org/details/dli.ernet.199817/
173,Maharshi,वसिष्ठ,4,1,https://archive.org/details/dli.ernet.199817/
174,Town/ पुरी,अमरावती,4,1,https://archive.org/details/dli.ernet.199817/
175,Hill/पर्वतः,अयोमुख,4,1,https://archive.org/details/dli.ernet.199817/
176,Rakshashi/राक्षसी,अयोमुखी,4,1,https://archive.org/details/dli.ernet.199817/
177,Rishi,उशना,4,1,https://archive.org/details/dli.ernet.199817/
178,Human,अरजा,4,1,https://archive.org/details/dli.ernet.199817/
179,Hill/पर्वतः,अरिष्ट,4,1,https://archive.org/details/dli.ernet.199817/
180,King,सगर,4,1,https://archive.org/details/dli.ernet.199817/
181,Human,सुमति,4,1,https://archive.org/details/dli.ernet.199817/
182,Prajapati,अरिष्टनेमि,4,1,https://archive.org/details/dli.ernet.199817/
183,Tree,अर्जुनक,3,2,https://archive.org/details/pnGL_valmiki-ramayan-kosh-by-ramkumar-ray-kashi-sanskrit-granth-mala-series-no.-168-m/
184,Insect,इन्द्रगोप,3,2,https://archive.org/details/pnGL_valmiki-ramayan-kosh-by-ramkumar-ray-kashi-sanskrit-granth-mala-series-no.-168-m/
185,Animal,ईहामृग,3,2,https://archive.org/details/pnGL_valmiki-ramayan-kosh-by-ramkumar-ray-kashi-sanskrit-granth-mala-series-no.-168-m/
187,Devine Bird/ देव पक्षी,अरुण,4,1,https://archive.org/details/dli.ernet.199817/
188,Devine Bird/ देव पक्षी,गरुड,4,1,https://archive.org/details/dli.ernet.199817/
189,Human,विनता,4,1,https://archive.org/details/dli.ernet.199817/
190,Devine Bird/ देव पक्षी,जटायु,4,1,https://archive.org/details/dli.ernet.199817/
191,Devine Bird/ देव पक्षी,सम्पाति,4,1,https://archive.org/details/dli.ernet.199817/
192,Human,अरुन्धती,4,1,https://archive.org/details/dli.ernet.199817/
193,Monkey/वानर,अर्क,4,1,https://archive.org/details/dli.ernet.199817/
194,Monkey/वानर,अर्चिष्मान्,4,1,https://archive.org/details/dli.ernet.199817/
195,Direction,पश्चिमदिशा,4,1,https://archive.org/details/dli.ernet.199817/
196,Monkey/वानर,अर्चिमाल्यस्,4,1,https://archive.org/details/dli.ernet.199817/
197,King,अर्जुन,4,1,https://archive.org/details/dli.ernet.199817/
198,King,कार्तवीर्य,4,1,https://archive.org/details/dli.ernet.199817/
199,Rishi,जमदग्नि,4,1,https://archive.org/details/dli.ernet.199817/
200,Deva,विष्णु,4,1,https://archive.org/details/dli.ernet.199817/
